model,seed,intervention_level,mean_A,mean_B,mean_C,mean_abs_A,mean_abs_B,mean_abs_C,n_reduced_A,n_reduced_B,n_reduced_C,n_total,wilcoxon_p_AB,wilcoxon_p_AC,wilcoxon_p_BC,f1,auc,brier
MLP,42,25,0.07647868245840073,0.08487901091575623,0.10419482737779617,0.19798991084098816,0.20426711440086365,0.23056446015834808,1067,1046,989,3000,6.070898270793913e-158,3.1518654354897855e-200,1.0008710830148995e-189,0.5306685044796692,0.7806452694338999,0.17238131737565898
MLP,42,50,0.04342520982027054,0.07068974524736404,0.10390248894691467,0.1552926003932953,0.18252579867839813,0.22736351191997528,1263,1095,1006,3000,1.6135771053816402e-172,3.87164343630703e-189,1.2305059820423006e-186,0.5306685044796692,0.7806452694338999,0.17238131737565898
SVM,123,10,-0.0008091670094534983,-0.00040085647359136653,-0.0010372393920399336,0.04538111106829128,0.046334131499657136,0.04995112079814807,1424,1407,1442,3000,5.3043292164159e-07,2.200405895798476e-05,7.341191533875573e-17,0.4409937888198758,0.7168287877537548,0.14411481717236013
SVM,123,25,-0.00043818458487498014,0.0004604455985862443,-0.0006346947832899836,0.039476140541119566,0.042602177375249954,0.05135190109316787,1398,1363,1444,3000,0.17724421953464264,1.8045612851780884e-05,8.090468482073624e-14,0.4409937888198758,0.7168287877537548,0.14411481717236013
SVM,123,50,0.0005694064239348696,0.0013500009859880604,-0.00015815060209893044,0.03202226100980102,0.038549022279942176,0.054573426481498793,1353,1300,1451,3000,0.07187176360297577,5.598398457486262e-07,3.2702954401741287e-11,0.4409937888198758,0.7168287877537548,0.14411481717236013
XGBoost,123,10,0.045077502727508545,0.04735230654478073,0.051737140864133835,0.15006305277347565,0.14779850840568542,0.14980527758598328,1015,1072,1045,3000,8.2826595514429955e-19,2.8218192808211716e-42,6.965488043296569e-52,0.5120405576679341,0.7678182765307807,0.18368487291904853
XGBoost,123,25,0.0357055701315403,0.04603967443108559,0.05515586957335472,0.14795903861522675,0.14581060409545898,0.1508972942829132,1121,1076,1039,3000,2.920006213731801e-110,3.739701545231037e-128,8.239583093114662e-83,0.5120405576679341,0.7678182765307807,0.18368487291904853
XGBoost,123,50,0.021503210067749023,0.04317764192819595,0.058764029294252396,0.13985182344913483,0.141855850815773,0.1522860825061798,1220,1076,1037,3000,5.889621350281897e-143,7.137375268634009e-163,1.0255122844367978e-106,0.5120405576679341,0.7678182765307807,0.18368487291904853
RandomForest,123,10,0.016249364835669973,0.01990855550394646,0.022452262905233524,0.05757234972593677,0.05741682822406066,0.05874985962494327,1202,1147,1065,3000,1.0192543859651049e-199,3.7756323933444755e-226,5.403346023664828e-141,0.5153846153846153,0.7637795402500411,0.17801376389731582
RandomForest,123,25,0.009634683283328295,0.019725495594262055,0.024939142734142928,0.05695066442086621,0.05651773276712836,0.05984946746004088,1294,1152,1000,3000,9.144016872217958e-298,2.970390965914526e-308,2.7605983975296624e-183,0.5153846153846153,0.7637795402500411,0.17801376389731582
RandomForest,123,50,-0.000681980766527691,0.0184302697728477,0.02698883785345721,0.05350621104415266,0.055102366650613896,0.06172950245229207,1496,1179,980,3000,0.0,0.0,1.1211060379189289e-195,0.5153846153846153,0.7637795402500411,0.17801376389731582
MLP,123,10,0.12225662916898727,0.12427219748497009,0.13344226777553558,0.24103045463562012,0.24189546704292297,0.25406238436698914,962,956,945,3000,3.467388894720143e-102,2.240799808178189e-216,3.85902778883977e-204,0.503968253968254,0.7627154594405018,0.18130983008373502
MLP,123,25,0.1036694124341011,0.11279939860105515,0.13351844251155853,0.21753373742103577,0.22507263720035553,0.25288695096969604,1002,974,941,3000,1.9340199390138674e-185,8.391193983384139e-214,2.7609625834683653e-199,0.503968253968254,0.7627154594405018,0.18130983008373502
MLP,123,50,0.06471557915210724,0.09682383388280869,0.1325252205133438,0.1700579822063446,0.20227813720703125,0.2507459223270416,1160,1013,949,3000,4.04263587990913e-213,2.6746582425894165e-207,1.789058544169611e-192,0.503968253968254,0.7627154594405018,0.18130983008373502
SVM,456,10,0.007543278810094866,0.00762692769446227,0.007944571646987492,0.038106802028095965,0.03855913137975007,0.04120251714363554,1340,1329,1318,3000,0.00010173483330293349,3.202689410343571e-05,0.0001968870461737127,0.4797570850202429,0.7315357319689717,0.13744155229734104
SVM,456,25,0.0064828077495736,0.0069979265513909795,0.007684648204218765,0.03401854816156042,0.03561165494578182,0.042102084231454964,1328,1337,1333,3000,1.4898369402684928e-06,2.0510789421546675e-05,0.00032310002843732676,0.4797570850202429,0.7315357319689717,0.13744155229734104
SVM,456,50,0.003516331753340144,0.005926145989836651,0.006922303420958618,0.027578543142193268,0.03182584504345495,0.044593529845097145,1397,1333,1355,3000,2.40433228410169e-14,2.1058561339806467e-08,0.0001641761602287237,0.4797570850202429,0.7315357319689717,0.13744155229734104
XGBoost,456,10,0.0547914057970047,0.058243684470653534,0.055852245539426804,0.150339737534523,0.14743386209011078,0.14584697782993317,1098,1096,1143,3000,3.075134719274781e-43,1.0727517571419568e-09,0.18226198993943954,0.5486155827430779,0.786401169747483,0.17605643221200057
XGBoost,456,25,0.0443945936858654,0.05629700794816017,0.05699986591935158,0.14830896258354187,0.14483189582824707,0.1457744985818863,1179,1103,1116,3000,3.859377565169494e-141,6.671251139435997e-57,0.013342267776595503,0.5486155827430779,0.786401169747483,0.17605643221200057
XGBoost,456,50,0.02528630755841732,0.05328033119440079,0.05913788452744484,0.13884757459163666,0.14077186584472656,0.1472737044095993,1287,1131,1098,3000,1.5779603162140857e-234,3.2082980364212304e-131,3.586636556709825e-07,0.5486155827430779,0.786401169747483,0.17605643221200057
RandomForest,456,10,0.006715538536655013,0.013282848946656088,0.015089412590005447,0.08553065871310028,0.08103593051360089,0.0826823457814624,1314,1279,1257,3000,6.652992253601742e-86,1.1027895466006803e-84,7.672719112087423e-16,0.5453160700685453,0.7806420459234197,0.16147346580652333
RandomForest,456,25,-0.0006011167630145252,0.011984355632727296,0.016168801252624005,0.08534672389183234,0.07971605113168234,0.08366897678977711,1404,1284,1240,3000,7.39316790788784e-165,1.2071172638215974e-150,1.8949883276465958e-26,0.5453160700685453,0.7806420459234197,0.16147346580652333
RandomForest,456,50,-0.015690586942647904,0.010376494245332456,0.01654970658836174,0.08221210002111161,0.07757072336848969,0.08559838529504596,1606,1318,1214,3000,5.32271594832695e-286,1.3531986696837098e-221,8.048490846756511e-31,0.5453160700685453,0.7806420459234197,0.16147346580652333
MLP,456,10,0.10522843152284622,0.10674373060464859,0.11518029123544693,0.22187520563602448,0.22217214107513428,0.23406827449798584,982,973,970,3000,3.812404123289208e-82,1.9547205625109933e-188,1.6952105427271477e-182,0.5489655172413793,0.786679681052979,0.1726352234995614
MLP,456,25,0.08843638747930527,0.09563130885362625,0.11455020308494568,0.19923783838748932,0.2049078643321991,0.2318430244922638,1020,993,971,3000,1.933894126801612e-146,1.0674130631842711e-183,1.605728335124294e-176,0.5489655172413793,0.786679681052979,0.1726352234995614
MLP,456,50,0.05425870791077614,0.08041340857744217,0.11236122995615005,0.15414129197597504,0.18158695101737976,0.22770288586616516,1164,1035,971,3000,1.2974032727812787e-172,1.8122532874818835e-175,2.6957248051180777e-165,0.5489655172413793,0.786679681052979,0.1726352234995614
